title,price
"Apple 2022 MacBook Air laptop with M2 chip: 13.6-inch Liquid Retina display, 8GB RAM, 256GB SSD storage, backlit keyboard, 1080p FaceTime HD camera. Works with iPhone and iPad; Starlight","£1,079.00"
"Auusda Laptop 14.1 inch Windows 11 Notebook, Full HD 1920*1080 IPS 100% sRGB Display, Intel J4105 Quad-Core, 8GB LPDDR4 and 256GB SSD, USB 3.0, 5GHz WIFI, Expandable Storage",£249.00
"SGIN 15.6 Inch Laptop Windows 11 12GB DDR4 512GB SSD (TF 512GB), Intel Celeron N5095 Processor(Up to 2.9GHz), FHD 1920x1080 Notebook with 2xUSB 3.0, Dual Band WiFi, Bluetooth 4.2(Gray)",£299.99
"ASUS Vivobook 15 X515JA 15.6 Full HD Laptop (Intel Core i3, 8GB RAM, 256GB PCIe SSD, Windows 11), Silver (X515JA-EJ2133W)",£399.99
GeoBook 2E 12.5-inch Laptop Windows 10 Intel Celeron 4GB RAM AC Wi-Fi 64GB eMMC,idk
"Apple 2022 MacBook Air laptop with M2 chip: 13.6-inch Liquid Retina display, 8GB RAM, 256GB SSD storage, backlit keyboard, 1080p FaceTime HD camera. Works with iPhone and iPad; Silver","£1,079.00"
"Fusion5 14.1"" Full HD Windows 11 Laptop - 128GB Storage, 4GB RAM, T90B+ Pro Model Lapbook, N4120 Intel Quad Core CPU, 5GHz WIFI (Dual-Band WIFI) 2x WIFI speeds, USB 3.0, Supports M.2 SATA SSD (128GB)",£199.95
"Apple 2021 MacBook Pro (14-inch, M1 Pro chip with 10‑core CPU and 16‑core GPU, 16GB RAM, 1TB SSD) - Space Grey","£2,085.00"
"New HP 14"" Intel Quad Turbo 2.8GHz Laptop, 4GB RAM, Very Fast SSD, HD Graphics, Win 11 Pro, MS Office Pro Plus, Very Long Battery Life …",£348.84
"ASUS Vivobook 15 X515JA 15.6 Full HD Laptop (Intel Core i3, 8GB RAM, 256GB PCIe SSD, Windows 11), Silver (X515JA-EJ2133W)",£399.99
"Fusion5 14.1inch A90B+ Pro 64GB Windows 10 Laptop - 4GB RAM, 64GB Storage, Full HD IPS, Bluetooth, 2MP Webcam, Dual Band WIFI Laptop (64GB)",£199.95
"HP 15.6” Full HD Laptop PC 15s-eq1054sa, AMD Athlon 3020e, 4GB RAM, 128GB SSD, Radeon Graphics, Windows 11 in S Mode, Microsoft 365 Personal 12 months included – Silver",£299.99
"ASUS Chromebook 11 CR1100 11.6 HD Laptop with 3 Year Warranty (Intel Celeron N4500, 4GB RAM, 64GB eMMC, Google Chrome Operating System) Includes 3 Year ASUS warranty",£129.99
"Acer Aspire Vero AV15-51 15.6 inch Laptop - (Intel Core i7-1195G7, 16GB, 1TB SSD, Full HD Display, Windows 11, Grey, 30% PCR Chassis)",£701.58
"ASUS Vivobook L410MA Full HD 14.0 inch Laptop (Intel Celeron N4020, 4GB RAM, 64GB eMMC, Windows 11) Ships with 1 Year Microsoft Office 365 Subscription",£167.64
"ASUS Vivobook L410MA Full HD 14.0 inch Laptop (Intel Celeron N4020, 4GB RAM, 64GB eMMC, Windows 11) Ships with 1 Year Microsoft Office 365 Subscription",£167.64
"Dell XPS 17 9720 17"" UHD+ Laptop, Intel Core i9-12900HK, 32GB RAM, 1TB SSD, NVIDIA GeForce RTX 3060 6GB, Touchscreen, Backlit Keyboard, Fingerprint Reader, Windows 11 Home (Silver)","£2,779.00"
"PixelRo Universal Blue Light Blocking Screen Protector 15 inch Laptop (16:9 Aspect Ratio) Anti Blue Light Anti Glare Anti-UV Eye Protection, Widescreen Hanging Type Reduce Eye Fatigue Eye Strain",£50.99
"Lenovo IdeaPad 1 15.6 Inch FHD Laptop (AMD Ryzen 5 3500U, 8GB RAM, 256GB SSD, Windows 11 Home in S mode) - Cloud Grey, 82R1005GUK",£379.00
"ASUS Chromebook 11 CR1100 11.6 HD Laptop with 3 Year Warranty (Intel Celeron N4500, 4GB RAM, 64GB eMMC, Google Chrome Operating System) Includes 3 Year ASUS warranty",£129.99
"ASUS Vivobook 15 E510MA 15.6"" Full HD Laptop (Intel Celeron N4020, 4GB RAM, 64GB eMMC, Windows 11 with Microsoft Office 365 included), Blue",£199.99
"SGIN 15.6 Inch Laptop Windows 11 8GB DDR4 256GB SSD (TF 512GB), Intel Celeron N4020 Processor(Up to 2.8GHz), HD Notebook with 2xUSB 3.0, Dual Band WiFi, Bluetooth 4.2(Gray)",£209.99
"Dell XPS 13 Plus 9320 13.4"" OLED 3.5K Laptop, Intel Evo Core i7-1260P, 16GB RAM, 512GB SSD, Touchscreen, Backlit Keyboard, Fingerprint Reader, Windows 11 Home (Silver)","£1,399.00"
"HP 15"" Full HD Laptop 15s-fq2039na, Intel Core i3, 4GB RAM, 128 GB SSD, Windows 11, Full Size Keyboard, Micro Edge Display, Anti-Glare - Silver",£373.97
Lenovo ThinkPad T470 Ultrabook - 14in HD (1366x768) Core i5-6200U 8GB 256GB SSD HDMI USB-C WebCam WiFi Windows 10 Professional 64-bit PC Laptop (Renewed),idk
"Acer Aspire 5 A517-53G 17.3 inch Laptop - (Intel Core i7-1260P, 16GB, 512GB SSD, NVIDIA GeForce RTX 2050, Full HD Display, Windows 11, Iron)",£899.99
"New Lenovo Quad Turbo Laptop, 32GB RAM, 500GB SSD, RX Vega Graphics, Win 11 Pro + Office Pro 2021 Full HD",£638.88
"Apple 2021 MacBook Pro (14-inch, M1 Pro chip with 10‑core CPU and 16‑core GPU, 16GB RAM, 1TB SSD) - Space Grey","£2,085.00"
"HP Laptop 14s-fq1000na, 14"" Full HD Laptop, AMD Ryzen 5 5500U, 8GB Ram, 256 GB SSD, Windows 10 Home, Amazon Alexa Voice Service, Dual Front Facing Speakers, Silver",£426.99
"New HP 14"" Intel Quad Turbo 2.8GHz Laptop, 4GB RAM, Very Fast SSD, HD Graphics, Win 11 Pro, MS Office Pro Plus, Very Long Battery Life …",£348.84
"CHUWI Herobook Pro Laptop, 14 inch 8GB RAM 256GB SSD(TF 512GB), FHD(1920x1080) 16:9 IPS Windows 11 Laptops, Intel N4020(Up to 2.8GHz), 4K Video, WiFi, BT4.0, Mini-HDMI Support Win11",£199.99
"ASUS M515DA 15.6-inch Laptop, AMD Ryzen 3 3250U, 8 GB RAM, 256 GB SSD, Windows 10 Pro",£349.00
